image,diam_max,diam_mean,diam_mode,length,area,width,depth,width_depth_ratio,com_x,com_y,ellips_025,ellips_050,ellips_075,ellips_100,rect_020,rect_040,rect_060,rect_080,directionality,tip_count,cross_hori_0_mean,cross_hori_0_max,cross_hori_1_mean,cross_hori_1_max,cross_hori_2_mean,cross_hori_2_max,cross_hori_3_mean,cross_hori_3_max,cross_hori_4_mean,cross_hori_4_max,cross_hori_5_mean,cross_hori_5_max,cross_hori_6_mean,cross_hori_6_max,cross_hori_7_mean,cross_hori_7_max,cross_hori_8_mean,cross_hori_8_max,cross_hori_9_mean,cross_hori_9_max,cross_hori_10_mean,cross_hori_10_max,cross_hori_11_mean,cross_hori_11_max,cross_hori_12_mean,cross_hori_12_max,cross_hori_13_mean,cross_hori_13_max,cross_hori_14_mean,cross_hori_14_max,cross_hori_15_mean,cross_hori_15_max,cross_hori_16_mean,cross_hori_16_max,cross_hori_17_mean,cross_hori_17_max,cross_hori_18_mean,cross_hori_18_max,cross_hori_19_mean,cross_hori_19_max,cross_hori_20_mean,cross_hori_20_max,cross_hori_21_mean,cross_hori_21_max,cross_hori_22_mean,cross_hori_22_max,cross_hori_23_mean,cross_hori_23_max,cross_hori_24_mean,cross_hori_24_max,cross_hori_25_mean,cross_hori_25_max,cross_hori_26_mean,cross_hori_26_max,cross_hori_27_mean,cross_hori_27_max,cross_hori_28_mean,cross_hori_28_max,cross_hori_29_mean,cross_hori_29_max,cross_vert_mean,cross_vert_max,convexhull,coord_x0,coord_x1,coord_x2,coord_x3,coord_x4,coord_x5,coord_x6,coord_x7,coord_x8,coord_x9,coord_x10,coord_x11,coord_x12,coord_x13,coord_x14,coord_x15,coord_x16,coord_x17,coord_x18,coord_x19,diff_x0,diff_x1,diff_x2,diff_x3,diff_x4,diff_x5,diff_x6,diff_x7,diff_x8,diff_x9,cumul_x0,cumul_x1,cumul_x2,cumul_x3,cumul_x4,cumul_x5,cumul_x6,cumul_x7,cumul_x8,cumul_x9
RSDH08-2-N+-119-452.tif,0.436319,0.0903653,0.077914104,45.12785,575.1619,12.746748,20.257668,0.6292308,0.49928388,0.3346056,1.1825521,3.9997292,6.8377404,9.640802,5.3762393,5.518342,5.5513954,5.679003,16.912416,11.0,2.4,15.0,3.9666667,19.0,2.8,5.0,3.4333334,7.0,3.8666666,9.0,3.0333333,4.0,3.0333333,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.3666666,4.0,1.6333333,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.5159574,27.0,581017.0,0.38141808,0.5244499,0.36552566,0.23105134,0.112469435,0.0085574575,0.4205379,0.39364302,0.37408313,0.34718826,0.3594132,0.38875306,0.40586796,0.43398532,0.97188264,0.9388753,0.8997555,0.8251834,0.700489,0.66748166,0.28606358,0.17603911,0.4596577,0.66870415,0.8264059,0.9633252,0.013447433,0.012224939,0.014669927,0.012224939,0.28606358,0.4621027,0.92176044,1.5904646,2.4168706,3.3801959,3.3936434,3.4058683,3.4205382,3.432763
RSDH08-2-N+-140-15.tif,0.24932514,0.090187125,0.077914104,25.384415,314.5704,9.521104,7.136932,1.3340611,0.5191782,0.42509755,0.42027047,1.7960073,3.1756082,4.568336,2.5360875,2.5195918,2.578937,2.5948877,17.169022,5.0,0.1,1.0,0.5,1.0,1.25,4.0,3.2,9.0,5.2,19.0,6.1,10.0,6.25,9.0,6.45,9.0,5.5,8.0,4.35,7.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.7,5.0,3.25,4.0,3.0,3.0,3.0,3.0,3.0,3.0,2.85,3.0,2.5,3.0,1.85,3.0,1.4,2.0,2.7610295,48.0,163425.0,0.5171849,0.46481177,0.30769232,0.22913256,0.18330605,0.1309329,0.08183306,0.036006548,0.5302782,0.53846157,0.5515548,0.9885434,0.9443535,0.89689034,0.8477905,0.7986907,0.7446808,0.690671,0.5826514,0.56792146,0.050736498,0.117839605,0.38297874,0.5155483,0.61538464,0.7168576,0.8150573,0.90834695,0.45826513,0.01309329,0.050736498,0.1685761,0.55155486,1.0671031,1.6824877,2.3993454,3.2144027,4.12275,4.581015,4.5941086
RSDH08-2-N+-18-330.tif,0.20257667,0.081438795,0.062331285,36.650795,424.2423,13.572637,17.67092,0.7680776,0.5576058,0.4181195,1.5616529,5.103287,8.749018,12.248338,6.9755006,7.026116,7.076547,7.098145,14.011237,4.0,0.7083333,1.0,3.5416667,19.0,4.5416665,8.0,3.3333333,6.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.5,2.0,1.0,1.0,2.4579208,16.0,577266.0,0.5912744,0.5074627,0.45120552,0.3719862,0.2675086,0.17910448,0.11825488,0.06429391,0.016073478,0.98966706,1.0,0.978186,0.95522386,0.92996556,0.9115959,0.8760046,0.82319176,0.76119405,0.70149255,0.6073479,0.016073478,0.19402985,0.30998853,0.45120552,0.608496,0.7324914,0.81171066,0.89092994,0.9621125,0.01033295,0.016073478,0.21010333,0.5200919,0.9712974,1.5797935,2.312285,3.1239955,4.0149255,4.977038,4.987371
RSDH08-2-N+-260-469.tif,0.24932514,0.08012424,0.077914104,34.718525,392.54684,7.4485884,13.229815,0.56301534,0.44384307,0.36899102,0.5971577,2.0615697,3.7146204,5.346155,2.9019887,2.9243777,3.0835617,3.0768926,12.570144,6.0,0.3448276,1.0,1.4137931,5.0,3.6551723,7.0,5.206897,7.0,5.0,6.0,4.448276,6.0,4.0,4.0,4.0,4.0,4.1034484,5.0,4.172414,5.0,4.3103447,5.0,4.448276,5.0,4.0,6.0,2.8275862,6.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.5862069,2.0,1.1034483,2.0,1.0,1.0,1.0,1.0,1.0,1.0,5.7748346,41.0,282585.0,0.32635984,0.17573221,0.20292887,0.087866105,0.374477,0.3451883,0.30962342,0.27196652,0.23012552,0.19037656,0.20711297,0.25104603,0.9309623,0.7740586,0.6213389,0.5167364,0.8200837,0.6046025,0.46025103,0.3912134,0.06485356,0.28451884,0.40167364,0.73221755,0.14225942,0.2761506,0.46443516,0.6589958,0.020920502,0.016736401,0.06485356,0.3493724,0.75104606,1.4832636,1.6255231,1.9016737,2.366109,3.0251048,3.0460253,3.0627618
RSDH08-2-N+-265-371.tif,0.2181595,0.098376706,0.077914104,31.399384,432.40768,5.859141,12.964907,0.45192307,0.51651543,0.47189042,0.4593679,1.4240874,2.5007389,3.5333886,2.0689034,2.0706332,2.0098743,1.9853688,14.713998,7.0,0.35714287,1.0,1.0714285,4.0,2.392857,6.0,3.4642856,8.0,3.4642856,12.0,3.107143,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.5,3.0,2.0357144,3.0,2.0,2.0,2.0,2.0,1.8214285,2.0,1.3214285,2.0,1.0,1.0,1.0,1.0,1.0,1.0,4.9666667,20.0,180502.0,0.57712764,0.52925533,0.40159574,0.31648937,0.25531915,0.17553191,0.0930851,0.18351063,0.08510638,0.0,0.026595745,0.122340426,0.9148936,0.98138297,0.97606385,0.9255319,0.8803192,0.81648934,0.7234042,0.64893615,0.07180851,0.19414894,0.41489363,0.5638298,0.67021275,0.8005319,0.88829786,0.73138297,0.03723404,0.026595745,0.07180851,0.26595744,0.6808511,1.2446809,1.9148936,2.7154255,3.6037233,4.3351064,4.37234,4.398936
RSDH08-2-N+-301-316.tif,0.26490796,0.10004574,0.062331285,28.921715,434.79187,12.014355,12.886992,0.93228537,0.57672346,0.36441517,0.9052756,3.1103864,5.350656,7.663716,4.2776146,4.2431006,4.4023366,4.430686,29.038488,9.0,0.23076923,1.0,1.0,4.0,2.1153846,8.0,3.3076923,11.0,3.8461537,5.0,4.576923,8.0,4.0,6.0,4.3461537,8.0,3.9615386,5.0,3.5769231,5.0,3.1923077,4.0,2.8846154,4.0,2.3076923,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0769231,3.0,2.1923077,4.0,2.0,2.0,2.0384614,3.0,2.0,2.0,2.0,2.0,1.7692307,2.0,1.2692307,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.2714286,13.0,336632.0,0.6381323,0.5966278,0.4695201,0.37483788,0.31776914,0.2464332,0.16990921,0.10376135,0.044098575,0.0,0.0116731515,0.057068743,0.12710765,0.9701686,0.92736703,0.8832685,0.9377432,0.8067445,0.71206224,0.6822309,0.044098575,0.1154345,0.3372244,0.5629053,0.56549937,0.68093383,0.8002594,0.023346303,0.012970169,0.0116731515,0.044098575,0.15953307,0.49675745,1.0596628,1.6251621,2.306096,3.1063554,3.1297016,3.1426718,3.154345
RSDH08-2-N+-310-298.tif,0.23374231,0.08701838,0.077914104,45.314842,543.0457,8.726379,18.356564,0.475382,0.6730515,0.4450328,0.81388277,2.559356,4.263881,6.337083,3.5448077,3.5679073,3.5700307,3.6329594,12.954249,4.0,0.5,2.0,2.2941177,5.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.6764705,3.0,2.1470587,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0294118,4.0,1.4411764,3.0,4.9634147,55.0,363908.0,0.76785713,0.6767857,0.6017857,0.5392857,0.47678572,0.35714287,0.2625,0.16964285,0.073214285,0.8517857,0.86964285,0.86071426,0.8017857,0.7482143,0.7607143,0.8964286,0.99642855,0.9714286,0.9125,0.81964284,0.051785715,0.23571429,0.36964285,0.45714286,0.41964287,0.40357143,0.4857143,0.63214284,0.7875,0.017857144,0.051785715,0.2875,0.6571429,1.1142857,1.5339286,1.9375,2.4232142,3.055357,3.842857,3.860714
RSDH08-2-N+-356-415.tif,0.2181595,0.083274774,0.077914104,33.565395,415.12634,12.606503,16.190552,0.7786333,0.4760718,0.3699527,1.3798048,4.3289413,7.503078,10.672222,5.98735,6.0387387,6.1273274,6.2125,32.475216,5.0,0.51724136,3.0,2.6206896,7.0,3.6551723,6.0,4.034483,6.0,3.8275862,5.0,3.2413793,5.0,3.0,3.0,3.0689654,4.0,3.1724138,4.0,3.2413793,4.0,3.2068965,4.0,2.8275862,4.0,2.0689654,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.862069,2.0,1.2758621,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.8442624,17.0,453554.0,0.56242275,0.43510506,0.33127317,0.17058097,0.33127317,0.2620519,0.19283065,0.12113721,0.06427688,0.0012360939,0.017305315,0.08034611,0.13597034,0.20766379,0.90729296,0.80840546,0.75154513,0.7119901,0.6810878,0.59826946,0.035846725,0.24598269,0.38071692,0.58096415,0.47713226,0.645241,0.014833127,0.014833127,0.01606922,0.01606922,0.035846725,0.28182942,0.66254634,1.2435105,1.7206428,2.3658838,2.380717,2.3955503,2.4116194,2.4276886
RSDH08-2-N+-386-447.tif,0.2181595,0.08076257,0.077914104,36.23006,416.57556,10.93914,16.548956,0.66101694,0.5584075,0.39872795,1.1409868,3.839786,6.603112,9.352373,5.3174353,5.3490815,5.3292933,5.4818764,16.048523,4.0,0.3529412,1.0,1.382353,3.0,2.6176472,5.0,3.0588236,5.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.8235295,3.0,2.3235295,3.0,1.9117647,2.0,1.382353,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.518868,77.0,379644.0,0.57977206,0.505698,0.43019944,0.32621083,0.23504274,0.12962963,0.017094018,0.537037,0.497151,0.45584047,0.47008547,0.51282054,0.5555556,0.58831906,0.94729346,0.8632479,0.8076923,0.75498575,0.6880342,0.6210826,0.04131054,0.18233618,0.32478634,0.4814815,0.6282051,0.8176638,0.57122505,0.018518519,0.015669515,0.014245015,0.04131054,0.22364673,0.54843307,1.0299146,1.6581197,2.4757833,3.0470085,3.065527,3.0811965,3.0954416
RSDH08-2-N+-389-94.tif,0.20257667,0.08388326,0.077914104,57.033123,660.0883,14.772514,22.330183,0.6615492,0.54035825,0.40101415,1.3603872,4.4868507,7.6460104,10.751511,6.143815,6.1783524,6.2000237,6.262677,9.543031,6.0,1.4857143,13.0,3.8285713,7.0,3.8285713,10.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.8,3.0,1.9428571,3.0,1.1428572,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.5882354,97.0,793532.0,0.5727848,0.4778481,0.39556962,0.2943038,0.19620253,0.112869196,0.03797468,0.48312235,0.4736287,0.46624473,0.47679326,0.4841772,1.0,0.9767932,0.9504219,0.93248945,0.8850211,0.8059072,0.7194093,0.59599155,0.023206752,0.24156117,0.41033757,0.5907173,0.73628694,0.8375527,0.9388186,0.51687765,0.010548524,0.010548524,0.023206752,0.26476792,0.67510545,1.2658228,2.0021098,2.8396626,3.778481,4.2953587,4.3059072,4.316456
RSDH08-2-N+-450-345.tif,0.20257667,0.09119164,0.062331285,32.86417,432.92194,7.744662,16.533373,0.46842602,0.59019697,0.41670728,0.90231085,2.552768,4.3973074,6.2413793,3.526672,3.5963573,3.5933697,3.637967,30.302874,6.0,0.3939394,1.0,1.939394,5.0,2.969697,5.0,3.6666667,6.0,3.7878788,5.0,2.4848485,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.1818182,4.0,2.1515152,4.0,2.0,2.0,2.030303,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.1818182,4.0,1.8181819,5.0,1.060606,2.0,1.0,1.0,1.0,1.0,1.0,1.0,3.6883721,24.0,235791.0,0.77062374,0.6136821,0.6720322,0.5814889,0.4527163,0.2917505,0.14486921,0.04024145,0.36217305,0.31187123,0.3279678,0.3802817,0.47283703,0.5915493,0.73239434,0.88128775,0.9839034,0.98792756,0.93158954,0.8229376,0.052313883,0.31790745,0.31589538,0.4024145,0.42857143,0.44064388,0.44668007,0.43259558,0.018108651,0.016096579,0.052313883,0.37022135,0.6861167,1.0885313,1.5171027,1.9577466,2.4044266,2.837022,2.8551307,2.8712273
RSDH08-2-N+-479-36.tif,0.2804908,0.08782541,0.077914104,35.108097,431.1299,10.907974,13.058404,0.8353222,0.45936415,0.39138877,0.7974482,2.9264467,4.9537716,7.069903,3.9399645,3.9960241,4.042831,4.1337695,17.1539,5.0,0.42307693,1.0,1.3846154,7.0,3.3846154,8.0,4.9615383,7.0,5.1923075,7.0,4.076923,6.0,3.1153846,6.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0384614,4.0,3.8076923,6.0,3.6923077,6.0,3.0,3.0,3.0,3.0,3.0,3.0,3.1923077,4.0,3.0769231,7.0,2.4230769,7.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.8461539,2.0,3.4748428,44.0,383997.0,0.44285715,0.36,0.24142857,0.17142858,0.122857146,0.087142855,0.07571428,0.05,0.018571429,0.80857146,0.82,0.80857146,0.7942857,0.7785714,1.0,0.8385714,0.74285716,0.6685714,0.56857145,0.48714286,0.044285715,0.20857143,0.42714286,0.5714286,0.7157143,0.9128571,0.70285714,0.7442857,0.79,0.011428571,0.044285715,0.25285715,0.68,1.2514286,1.9671428,2.8799999,3.5828571,4.3271427,5.1171427,5.128571
RSDH08-2-N+-52-414.tif,0.26490796,0.088396,0.077914104,44.224045,560.5452,17.51509,19.120121,0.91605544,0.5256113,0.36999807,1.7002668,5.3181643,9.203381,12.945041,7.3496885,7.414962,7.5309405,7.534499,10.941782,8.0,0.55172414,1.0,2.275862,7.0,4.37931,7.0,5.206897,9.0,4.827586,7.0,3.137931,5.0,3.0,4.0,3.3448277,4.0,3.310345,4.0,3.1724138,4.0,2.9310346,4.0,2.137931,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.5862069,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.666008,40.0,507086.0,0.4128114,0.32295373,0.17704627,0.017793594,0.45284697,0.47508895,0.4830961,0.49822065,0.52313167,0.5435943,0.5524911,0.53291816,0.98131675,0.93149465,0.8709964,0.8069395,0.730427,0.63967973,0.5320285,0.4341637,0.021352313,0.20907474,0.46263346,0.71263343,0.35409254,0.39590746,0.4483986,0.4830961,0.009786477,0.008896797,0.021352313,0.23042706,0.6930605,1.405694,1.7597866,2.155694,2.6040926,3.0871887,3.096975,3.105872
RSDH08-2-N+-54-418.tif,0.20257667,0.08634502,0.077914104,50.690918,623.84265,12.092269,19.213617,0.6293593,0.5619821,0.3830148,0.984713,3.2162163,5.6392817,8.048683,4.4579105,4.5264277,4.6229706,4.6478243,12.331839,6.0,0.56666666,1.0,3.2,7.0,5.3333335,8.0,5.2,6.0,5.0333333,6.0,4.866667,6.0,4.3,8.0,4.133333,6.0,3.7,6.0,3.0,3.0,3.0,3.0,3.0,3.0,2.9,3.0,2.2666667,3.0,2.0333333,3.0,2.0333333,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.7333333,2.0,1.0333333,2.0,1.0,1.0,0.96666664,1.0,4.187675,34.0,645113.0,0.61082476,0.46262887,0.2951031,0.3724227,0.2951031,0.20360824,0.11726804,0.04896907,0.0025773195,0.93041235,0.943299,0.92268044,0.8814433,0.8286083,0.78737116,0.76417524,0.92783505,0.83505154,0.75386596,0.6417526,0.030927835,0.29123712,0.53994846,0.55541235,0.46907216,0.5837629,0.7113402,0.83247423,0.9201031,0.012886598,0.030927835,0.32216495,0.8621134,1.4175258,1.8865979,2.4703608,3.181701,4.0141754,4.9342785,4.947165
RSDH08-2-N+-631-86.tif,0.48306745,0.15391412,0.077914104,41.356808,730.42914,8.83546,14.367361,0.61496747,0.4359937,0.24947071,0.22611682,1.3486794,2.5908818,3.6785212,1.6711823,1.9483722,2.1663609,2.2052524,11.862387,17.0,0.56666666,3.0,3.9666667,16.0,6.5,16.0,7.1666665,14.0,10.333333,32.0,11.766666,32.0,7.5333333,21.0,3.8666666,9.0,3.3333333,9.0,3.0,3.0,3.1,6.0,3.1,6.0,3.0,3.0,2.5666666,3.0,1.6666666,3.0,1.1,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.9302325,38.0,289460.0,0.25925925,0.1005291,0.08289242,0.02292769,0.0035273368,0.9118166,0.9188712,0.92416227,0.95238096,0.9858906,1.0,0.9700176,0.9417989,0.93474424,0.93121696,0.84656084,0.7407407,0.66137564,0.59611994,0.36860672,0.10934744,0.49559084,0.5784832,0.7178131,0.8430335,0.019400353,0.015873017,0.017636685,0.017636685,0.014109347,0.10934744,0.60493827,1.1834215,1.9012346,2.7442682,2.7636685,2.7795415,2.7971783,2.814815,2.8289244
RSDH08-2-N+-650-290.tif,0.2181595,0.090806164,0.062331285,26.802452,329.84158,8.103066,10.144417,0.79877114,0.37202498,0.37013152,0.5952662,2.1627533,3.6756744,5.2775073,2.8327112,3.0028818,3.0492275,3.03085,20.81525,6.0,0.3478261,1.0,0.95652175,3.0,7.347826,42.0,9.217391,27.0,6.478261,20.0,4.4347825,6.0,4.695652,9.0,4.2173915,6.0,2.9565217,6.0,2.0434783,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.9565217,2.0,1.5217391,2.0,1.0434783,2.0,1.0,1.0,3.6696036,72.0,201651.0,0.3903846,0.30192307,0.17692308,0.11153846,0.07884616,0.057692308,0.036538463,0.017307693,0.005769231,0.017307693,0.03076923,0.03269231,0.52692306,0.5923077,0.63461536,0.65384614,0.65,0.97884613,0.9,0.43846154,0.048076924,0.59807694,0.8019231,0.53846157,0.575,0.5769231,0.5557692,0.50961536,0.026923077,0.013461539,0.048076924,0.64615387,1.448077,1.9865385,2.5615385,3.1384616,3.6942308,4.203846,4.230769,4.2442307
RSDH08-2-N+-666-49.tif,0.2804908,0.08808279,0.077914104,44.177296,549.54376,11.0014715,18.792883,0.5854063,0.45572382,0.2641256,0.96557593,3.3029547,5.7521977,8.108292,4.302104,4.6132536,4.7708273,4.775421,11.128046,11.0,3.375,24.0,8.25,24.0,6.71875,18.0,4.9375,18.0,4.5,11.0,4.46875,11.0,4.21875,7.0,3.28125,7.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.46875,3.0,1.25,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.360544,100.0,461841.0,0.058073655,0.30311614,0.16147308,0.062322944,0.51133144,0.5410765,0.58215296,0.6359773,0.684136,0.7322946,0.74787533,0.6997167,0.6515581,0.5963173,0.5552408,0.52549577,0.92067987,0.80311614,0.66005665,0.5339943,0.47592068,0.3569405,0.64164305,0.85835695,0.014164306,0.014164306,0.014164306,0.015580736,0.015580736,0.015580736,0.47592068,0.8328612,1.4745042,2.3328612,2.3470254,2.3611896,2.3753538,2.3909345,2.4065151,2.4220958
RSDH08-2-N+-711-20.tif,0.23374231,0.08966667,0.093496926,32.459015,417.1677,8.804294,15.7698145,0.5583004,0.69665736,0.4474202,0.98763585,2.9620485,4.876172,6.3408914,3.6428971,3.6602294,3.696089,3.7381122,31.933058,4.0,0.43333334,1.0,2.0333333,6.0,3.0666666,5.0,3.0,3.0,3.0,4.0,2.4333334,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.4666667,4.0,3.0333333,5.0,3.0,3.0,2.9,4.0,2.2666667,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.6333333,2.0,1.1,2.0,1.0,1.0,1.0,1.0,2.92,10.0,246986.0,0.8955752,0.82300884,0.7061947,0.580531,0.5061947,0.37699115,0.22300886,0.07433628,0.5876106,0.50265485,0.52743363,0.6176991,0.7256637,0.8106195,0.8743363,0.9079646,0.93982303,0.9716814,1.0,0.94690263,0.051327433,0.17699115,0.26548672,0.35929203,0.4017699,0.49734512,0.5876106,0.65132743,0.030088495,0.024778761,0.051327433,0.22831859,0.4938053,0.8530973,1.2548672,1.7522123,2.3398228,2.9911501,3.0212386,3.0460174
RSDH08-2-N--118-209.tif,0.24932514,0.087977305,0.093496926,28.859385,348.46304,7.479754,16.159386,0.46287367,0.4331046,0.3560128,0.8327967,2.9455774,5.306502,7.505545,4.05876,4.2361593,4.349477,4.3407564,18.842138,5.0,0.5,1.0,2.1153846,10.0,4.0384617,10.0,4.5384617,7.0,4.730769,6.0,4.0384617,5.0,4.076923,5.0,4.1153846,8.0,3.5,8.0,1.5769231,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.2692307,8.0,1.0,1.0,4.300971,94.0,209547.0,0.49583334,0.32083333,0.41666666,0.46875,0.425,0.35625,0.26041666,0.15208334,0.075,0.004166667,0.027083334,0.10208333,0.18333334,0.28958333,0.38541666,0.45208332,0.5,0.825,0.625,0.54583335,0.05,0.30416667,0.40833333,0.03125,0.027083334,0.029166667,0.029166667,0.03125,0.027083334,0.022916667,0.05,0.3541667,0.76250005,0.79375005,0.8208334,0.85,0.87916666,0.91041666,0.9375,0.9604167
RSDH08-2-N--162-218.tif,0.18699385,0.088794,0.077914104,34.59386,463.12143,10.33141,14.803679,0.69789475,0.607867,0.49264348,1.0441453,2.9343877,4.827221,6.9838157,3.9808547,3.9501681,3.9554172,3.9093876,35.921307,3.0,0.37931034,1.0,2.0689654,6.0,3.1724138,6.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0344827,4.0,3.0689654,4.0,3.0,3.0,3.1034484,5.0,2.5517242,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0689654,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0344827,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.9310344,2.0,1.4137931,2.0,3.1288135,26.0,193841.0,0.8989442,0.84162897,0.7390649,0.61387634,0.47209653,0.36651585,0.25791857,0.15837105,0.07390649,0.0015082957,0.016591253,0.40422323,0.5248869,0.6334842,0.7300151,0.8220211,0.9245852,0.98340875,0.9939668,0.9321267,0.033182506,0.15233786,0.24434389,0.3107089,0.3499246,0.36349925,0.37556562,0.36651585,0.33031675,0.015082956,0.033182506,0.18552037,0.42986426,0.74057317,1.0904977,1.453997,1.8295627,2.1960785,2.5263953,2.5414784
